57418,11000,Jon,Yang,2013-10-03 00:00:00.000,2013-06-20 00:00:00.000
72773,11001,Eugene,Huang,2014-05-12 00:00:00.000,2013-06-18 00:00:00.000
53237,11002,Ruben,Torres,2013-07-26 00:00:00.000,2013-06-02 00:00:00.000
57783,11003,Christy,Zhu,2013-10-10 00:00:00.000,2013-06-07 00:00:00.000
57293,11004,Elizabeth,Johnson,2013-10-01 00:00:00.000,2013-06-24 00:00:00.000
57361,11005,Julio,Ruiz,2013-10-02 00:00:00.000,2013-06-25 00:00:00.000
58007,11006,Janet,Alvarez,2013-10-14 00:00:00.000,2013-05-31 00:00:00.000
54705,11007,Marco,Mehta,2013-08-19 00:00:00.000,2013-06-23 00:00:00.000
53765,11008,Rob,Verhoff,2013-08-02 00:00:00.000,2013-06-05 00:00:00.000
57736,11009,Shannon,Carlson,2013-10-09 00:00:00.000,2013-06-22 00:00:00.000
58533,11010,Jacquelyn,Suarez,2013-10-23 00:00:00.000,2013-06-13 00:00:00.000
54706,11011,Curtis,Lu,2013-08-19 00:00:00.000,2013-06-27 00:00:00.000
68413,11012,Lauren,Walker,2014-03-17 00:00:00.000,2013-08-16 00:00:00.000
74908,11013,Ian,Jenkins,2014-06-23 00:00:00.000,2013-09-13 00:00:00.000
57222,11014,Sydney,Bennett,2013-09-30 00:00:00.000,2013-08-23 00:00:00.000
51520,11015,Chloe,Young,2013-06-20 00:00:00.000,NULL
52512,11016,Wyatt,Hill,2013-07-12 00:00:00.000,NULL
68396,11017,Shannon,Wang,2014-03-16 00:00:00.000,2013-06-03 00:00:00.000
69087,11018,Clarence,Rai,2014-03-26 00:00:00.000,2013-06-18 00:00:00.000
74593,11019,Luke,Lal,2014-06-14 00:00:00.000,2014-06-13 00:00:00.000
51193,11020,Jordan,King,2013-05-31 00:00:00.000,NULL
51610,11021,Destiny,Wilson,2013-06-25 00:00:00.000,NULL
51556,11022,Ethan,Zhang,2013-06-22 00:00:00.000,NULL
74658,11023,Seth,Edwards,2014-06-16 00:00:00.000,2013-07-20 00:00:00.000
62830,11024,Russell,Xie,2013-12-26 00:00:00.000,2013-11-27 00:00:00.000
69157,11025,Alejandro,Beck,2014-03-27 00:00:00.000,2013-06-22 00:00:00.000
68468,11026,Harold,Sai,2014-03-17 00:00:00.000,2013-08-27 00:00:00.000
69088,11027,Jessie,Zhao,2014-03-26 00:00:00.000,2013-10-23 00:00:00.000
67961,11028,Jill,Jimenez,2014-03-09 00:00:00.000,2013-10-13 00:00:00.000
70593,11029,Jimmy,Moreno,2014-04-13 00:00:00.000,2013-10-01 00:00:00.000
70449,11030,Bethany,Yuan,2014-04-11 00:00:00.000,2013-12-24 00:00:00.000
70748,11031,Theresa,Ramos,2014-04-15 00:00:00.000,2013-12-15 00:00:00.000
70373,11032,Denise,Stone,2014-04-10 00:00:00.000,2014-01-11 00:00:00.000
70163,11033,Jaime,Nath,2014-04-07 00:00:00.000,2014-01-01 00:00:00.000
70521,11034,Ebony,Gonzalez,2014-04-12 00:00:00.000,2014-01-06 00:00:00.000
70870,11035,Wendy,Dominguez,2014-04-17 00:00:00.000,2014-02-10 00:00:00.000
51593,11036,Jennifer,Russell,2013-06-24 00:00:00.000,NULL
51555,11037,Chloe,Garcia,2013-06-22 00:00:00.000,NULL
70671,11038,Diana,Hernandez,2014-04-14 00:00:00.000,2014-02-01 00:00:00.000
70594,11039,Marc,Martin,2014-04-13 00:00:00.000,2014-02-20 00:00:00.000
55599,11040,Jesse,Murphy,2013-09-03 00:00:00.000,NULL
51460,11041,Amanda,Carter,2013-06-16 00:00:00.000,NULL
68609,11042,Megan,Sanchez,2014-03-19 00:00:00.000,2013-06-23 00:00:00.000
64496,11043,Nathan,Simmons,2014-01-18 00:00:00.000,2013-10-08 00:00:00.000
70374,11044,Adam,Flores,2014-04-10 00:00:00.000,2014-04-06 00:00:00.000
69572,11045,Leonard,Nara,2014-03-31 00:00:00.000,2013-09-10 00:00:00.000
70651,11046,Christine,Yuan,2014-04-14 00:00:00.000,2014-03-31 00:00:00.000
71132,11047,Jaclyn,Lu,2014-04-21 00:00:00.000,2014-04-06 00:00:00.000
73924,11048,Jeremy,Powell,2014-05-27 00:00:00.000,2014-04-16 00:00:00.000
69583,11049,Carol,Rai,2014-03-31 00:00:00.000,2013-08-09 00:00:00.000
71147,11050,Alan,Zheng,2014-04-21 00:00:00.000,2013-08-16 00:00:00.000
74253,11051,Daniel,Johnson,2014-06-03 00:00:00.000,2014-05-31 00:00:00.000
58766,11052,Heidi,Lopez,2013-10-27 00:00:00.000,2013-06-23 00:00:00.000
51505,11053,Ana,Price,2013-06-19 00:00:00.000,NULL
59127,11054,Deanna,Munoz,2013-10-30 00:00:00.000,2013-06-09 00:00:00.000
59695,11055,Gilbert,Raje,2013-11-07 00:00:00.000,2013-07-07 00:00:00.000
59194,11056,Michele,Nath,2013-10-31 00:00:00.000,2013-07-06 00:00:00.000
58402,11057,Carl,Andersen,2013-10-21 00:00:00.000,2013-06-29 00:00:00.000
59464,11058,Marc,Diaz,2013-11-04 00:00:00.000,2013-06-06 00:00:00.000
54480,11059,Ashlee,Andersen,2013-08-16 00:00:00.000,2013-08-11 00:00:00.000
60884,11060,Jon,Zhou,2013-11-25 00:00:00.000,2013-06-06 00:00:00.000
60168,11061,Todd,Gao,2013-11-14 00:00:00.000,2013-06-02 00:00:00.000
51347,11062,Noah,Powell,2013-06-09 00:00:00.000,NULL
51431,11063,Angela,Murphy,2013-06-14 00:00:00.000,NULL
51646,11064,Chase,Reed,2013-06-27 00:00:00.000,NULL
74538,11065,Jessica,Henderson,2014-06-12 00:00:00.000,2013-07-13 00:00:00.000
66656,11066,Grace,Butler,2014-02-19 00:00:00.000,2013-10-31 00:00:00.000
74615,11067,Caleb,Carter,2014-06-14 00:00:00.000,2014-01-18 00:00:00.000
67965,11068,Tiffany,Liang,2014-03-10 00:00:00.000,2013-12-20 00:00:00.000
59465,11069,Carolyn,Navarro,2013-11-04 00:00:00.000,2013-06-28 00:00:00.000
60939,11070,Willie,Raji,2013-11-26 00:00:00.000,2013-06-11 00:00:00.000
72067,11071,Linda,Serrano,2014-05-03 00:00:00.000,2013-08-18 00:00:00.000
60240,11072,Casey,Luo,2013-11-15 00:00:00.000,2013-06-11 00:00:00.000
64686,11073,Amy,Ye,2014-01-21 00:00:00.000,2013-11-10 00:00:00.000
58717,11074,Levi,Arun,2013-10-27 00:00:00.000,2013-10-06 00:00:00.000
60835,11075,Felicia,Jimenez,2013-11-24 00:00:00.000,2013-06-18 00:00:00.000
60628,11076,Blake,Anderson,2013-11-21 00:00:00.000,2013-06-02 00:00:00.000
60042,11077,Leah,Ye,2013-11-12 00:00:00.000,2013-06-27 00:00:00.000
75084,11078,Gina,Martin,2014-06-30 00:00:00.000,2014-05-27 00:00:00.000
74254,11079,Donald,Gonzalez,2014-06-03 00:00:00.000,2014-01-31 00:00:00.000
60764,11080,Damien,Chander,2013-11-23 00:00:00.000,2013-06-15 00:00:00.000
