2013-05-30,3,"286 Tsoflias Lynn, 288 Valdez Rachel"
2013-03-14,3,285 Abbas Syed
2012-09-30,3,284 Mensa-Annan Tete
2012-05-30,3,"289 Pak Jae, 290 Varkey Chudukatil Ranjit"
2012-04-16,3,287 Alberts Amy
2011-05-31,3,"275 Blythe Michael, 276 Mitchell Linda, 277 Carson Jillian, 278 Vargas Garrett, 279 Reiter Tsvi, 280 Ansman-Wolfe Pamela, 281 Ito Shu, 282 Saraiva José, 283 Campbell David"
2011-02-25,5,250 Word Sheela
2011-02-15,3,273 Welcker Brian
2011-02-14,4,19 Dempsey Mary
2011-02-07,4,18 Wood John
2011-01-18,1,15 Salavaria Sharon
2011-01-07,4,20 Benshoof Wanida
2011-01-04,3,274 Jiang Stephen
2010-12-30,1,14 Sullivan Michael
2010-12-25,5,261 Hillmann Reinout
2010-12-23,2,13 Galvin Janice
2010-12-06,5,260 Hill Annette
2010-12-05,2,11 Cracium Ovidiu
2010-03-10,7,92 Vande Velde Tom
2010-03-09,5,259 Miller Ben
2010-03-07,14,231 Berry Jo
2010-03-05,14,230 Macrae Stuart
2010-03-04,7,142 Turner Olinda
2010-03-03,7,82 Creasey Jack
2010-02-27,7,106 Kane John
2010-02-23,7,"64 Zwilling Michael, 65 Reeves Randy"
2010-02-23,13,213 Charncherngkha Sootha
2010-02-20,7,90 Tiedt Danielle
2010-02-16,14,229 Penor Lori
2010-02-13,7,143 Sunkammurali Krishna
2010-02-12,7,83 Cook Patrick
2010-02-08,7,107 Hill Christopher
2010-02-05,7,"84 Martinez Frank, 39 Dudenhoefer Ed"
2010-02-01,7,89 Wedge Patrick
2010-01-31,5,258 Hagens Erin
2010-01-29,7,63 Dusza Maciej
2010-01-27,5,257 Kurjan Eric
2010-01-27,14,232 Coleman Pat
2010-01-24,7,"141 Su Min, 79 Brown Eric"
2010-01-23,5,256 Pellow Frank
2010-01-22,7,140 Samarawickrama Prasanna
2010-01-17,7,80 Kaliyath Sandeep
2010-01-16,7,38 Abercrombie Kim
2010-01-12,7,91 Zimmerman Kimberly
2010-01-11,5,255 Hee Gordon
2010-01-06,7,139 Ting Hung-Fu
2010-01-04,5,254 Ogisu Fukiko
2010-01-01,7,54 Kearney Bonnie
2009-12-29,7,81 Frintu Mihail
2009-12-25,7,"104 Baker Mary, 105 Homer Kevin"
2009-12-22,7,66 Khanna Karan
2009-12-21,14,233 Hedlund Magnus
2009-12-18,7,88 Stadick Betsy
2009-12-17,5,253 Meisner Linda
2009-12-11,7,"85 Goldstein Brian, 136 Valdez Sylvester"
2009-12-06,7,103 Ersan Ebru
2009-12-03,7,68 Fitzgerald Charles
2009-12-02,14,227 Altman Gary
2009-05-03,6,10 Raheem Michael
2009-03-08,7,204 Mares Gabe
2009-03-08,10,248 Seamans Mike
2009-03-07,7,"158 Dyck Shelley, 37 Okelberry Chris"
2009-03-06,7,164 Cencini Andrew
2009-03-06,12,221 Norred Chris
2009-03-05,7,"192 Diaz Brenda, 179 Miksovsky Jan, 67 Adams Jay"
2009-03-04,7,120 Lertpiriyasuwat Kitti
2009-03-03,7,"77 Netz Merav, 178 Frum John"
2009-03-03,8,226 LaMee Brian
2009-03-02,4,21 Eminhizer Terry
2009-03-02,7,96 Keyser Elizabeth
2009-03-01,10,247 Sheperdigian Janet
2009-02-28,5,252 Rao Arvind
2009-02-28,7,185 Hesse Stefen
2009-02-28,13,211 Abolrous Hazem
2009-02-26,7,"191 Penuchot Lionel, 205 Kane Lori, 150 Vanderhyde Michael, 45 Michaels Thomas"
2009-02-26,15,126 Bischoff Jimmy
2009-02-25,7,119 Entin Michael
2009-02-25,9,236 Culbertson Grant
2009-02-24,7,203 Myer Ken
2009-02-23,7,"137 Sousa Anibal, 57 Miller Frank"
2009-02-23,11,266 Connelly Peter
2009-02-22,7,"47 Hill Andrew, 132 Holliday Nicole"
2009-02-21,7,"166 Richins Jack, 177 King Russell"
2009-02-20,7,"180 McAskill-White Katie, 210 Newman Belinda"
2009-02-19,7,151 Shabalin Rostislav
2009-02-18,7,117 Niswonger Chad
2009-02-18,10,245 Moreland Barbara
2009-02-16,7,"159 Earls Terrence, 34 Mohan Suchitra"
2009-02-16,11,267 Berg Karen
2009-02-15,7,"131 Cetinok Baris, 69 Masters Steve, 71 Ray Michael"
2009-02-14,7,176 Lawrence David
2009-02-13,7,"118 Hall Don, 130 Caron Rob"
2009-02-13,8,225 Brewer Alan
2009-02-12,7,76 Philips Carol
2009-02-11,7,98 Tejani Sameer
2009-02-11,10,246 Tomic Dragan
2009-02-10,5,251 Sandberg Mikael
2009-02-10,7,"97 Samant Mandar, 36 Lugo Jose"
2009-02-09,7,184 Chen John
2009-02-09,12,220 Berge Karen
2009-02-08,6,7 Miller Dylan
2009-02-08,7,"35 Heidepriem Brandon, 46 Kogan Eugene, 186 Kim Shane, 163 Nayberg Alex"
2009-02-06,9,237 Chen Hao
2009-02-05,7,"202 Nusbaum Tawana, 56 Smith Denise"
2009-02-04,7,138 Smith Samantha
2009-02-04,11,264 Conroy Stephanie
2009-02-03,7,"157 Randall Linda, 25 Hamilton James"
2009-02-03,11,268 Meyyappan Ramesh
2009-02-02,7,"175 Koch Reed, 190 Rounthwaite Robert"
2009-02-02,13,214 Berglund Andreas
2009-02-01,7,152 Li Yuhong
2009-01-31,7,"149 Ruth Andy, 116 Patten Michael"
2009-01-31,16,234 Norman Laura
2009-01-30,10,241 Liu David
2009-01-29,7,"201 Lloyd Brian, 30 Simon Britta"
2009-01-27,7,"209 Flood Kathie, 145 Randall Cynthia, 174 Martin Benjamin"
2009-01-26,7,75 Osada Michiko
2009-01-26,8,223 Uddin Sairaj
2009-01-25,7,101 Pournasseh Houman
2009-01-24,10,244 Walton Bryan
2009-01-23,7,29 McArthur Mark
2009-01-22,7,"183 Decker Barbara, 165 Preston Chris"
2009-01-22,11,271 Wilson Dan
2009-01-22,12,219 Chai Sean
2009-01-21,7,"160 Hay Jeff, 173 Zabokritski Eugene, 41 Baker Bryan"
2009-01-20,7,115 Barbariol Angela
2009-01-20,15,125 Berndt Matthias
2009-01-18,4,24 Williams Jill
2009-01-18,7,61 Tibbott Diane
2009-01-17,7,"200 Lee Frank, 144 Singh Paul"
2009-01-17,11,270 Ajenstat François
2009-01-16,6,9 Matthew Gigi
2009-01-16,7,172 Ingle Marc
2009-01-15,7,189 Esteves Janeth
