Document Control,218,Tengiz Kharatishvili,2008-12-16,187,NULL,NULL,NULL
Document Control,217,Zainal Arifin,2009-01-04,186,Tengiz Kharatishvili,2008-12-16,19
Document Control,219,Sean Chai,2009-01-22,186,Zainal Arifin,2009-01-04,18
Document Control,220,Karen Berge,2009-02-09,185,Sean Chai,2009-01-22,18
Document Control,221,Chris Norred,2009-03-06,184,Karen Berge,2009-02-09,25
Engineering,3,Roberto Tamburello,2007-11-11,200,NULL,NULL,NULL
Engineering,4,Rob Walters,2007-12-05,199,Roberto Tamburello,2007-11-11,24
Engineering,5,Gail Erickson,2008-01-06,198,Rob Walters,2007-12-05,32
Engineering,6,Jossef Goldberg,2008-01-24,198,Gail Erickson,2008-01-06,18
Engineering,2,Terri Duffy,2008-01-31,198,Jossef Goldberg,2008-01-24,7
Engineering,14,Michael Sullivan,2010-12-30,163,Terri Duffy,2008-01-31,1064
Engineering,15,Sharon Salavaria,2011-01-18,162,Michael Sullivan,2010-12-30,19
Executive,1,Ken Sánchez,2009-01-14,186,NULL,NULL,NULL
Executive,234,Laura Norman,2009-01-31,186,Ken Sánchez,2009-01-14,17
Facilities and Maintenance,228,Christian Kleinerman,2008-12-14,187,NULL,NULL,NULL
Facilities and Maintenance,227,Gary Altman,2009-12-02,175,Christian Kleinerman,2008-12-14,353
Facilities and Maintenance,233,Magnus Hedlund,2009-12-21,175,Gary Altman,2009-12-02,19
Facilities and Maintenance,232,Pat Coleman,2010-01-27,174,Magnus Hedlund,2009-12-21,37
Facilities and Maintenance,229,Lori Penor,2010-02-16,173,Pat Coleman,2010-01-27,20
Facilities and Maintenance,230,Stuart Macrae,2010-03-05,172,Lori Penor,2010-02-16,17
Facilities and Maintenance,231,Jo Berry,2010-03-07,172,Stuart Macrae,2010-03-05,2
Finance,242,Deborah Poe,2008-12-18,187,NULL,NULL,NULL
Finance,249,Wendy Kahn,2008-12-25,187,Deborah Poe,2008-12-18,7
Finance,243,Candy Spoon,2009-01-06,186,Wendy Kahn,2008-12-25,12
Finance,262,David Barber,2009-01-12,186,Candy Spoon,2009-01-06,6
Finance,244,Bryan Walton,2009-01-24,186,David Barber,2009-01-12,12
Finance,241,David Liu,2009-01-30,186,Bryan Walton,2009-01-24,6
Finance,234,Laura Norman,2009-01-31,186,David Liu,2009-01-30,1
Finance,246,Dragan Tomic,2009-02-11,185,Laura Norman,2009-01-31,11
Finance,245,Barbara Moreland,2009-02-18,185,Dragan Tomic,2009-02-11,7
Finance,247,Janet Sheperdigian,2009-03-01,184,Barbara Moreland,2009-02-18,11
Finance,248,Mike Seamans,2009-03-08,184,Janet Sheperdigian,2009-03-01,7
Human Resources,235,Paula Barreto de Mattos,2008-12-06,187,NULL,NULL,NULL
Human Resources,240,Willis Johnson,2008-12-13,187,Paula Barreto de Mattos,2008-12-06,7
Human Resources,239,Mindy Martin,2008-12-25,187,Willis Johnson,2008-12-13,12
Human Resources,238,Vidur Luthra,2009-01-01,186,Mindy Martin,2008-12-25,7
Human Resources,237,Hao Chen,2009-02-06,185,Vidur Luthra,2009-01-01,36
Human Resources,236,Grant Culbertson,2009-02-25,185,Hao Chen,2009-02-06,19
Information Services,265,Ashvini Sharma,2008-12-04,187,NULL,NULL,NULL
Information Services,263,Jean Trenary,2008-12-11,187,Ashvini Sharma,2008-12-04,7
Information Services,272,Janaina Bueno,2008-12-23,187,Jean Trenary,2008-12-11,12
Information Services,269,Dan Bacon,2009-01-11,186,Janaina Bueno,2008-12-23,19
Information Services,270,François Ajenstat,2009-01-17,186,Dan Bacon,2009-01-11,6
Information Services,271,Dan Wilson,2009-01-22,186,François Ajenstat,2009-01-17,5
Information Services,268,Ramesh Meyyappan,2009-02-03,185,Dan Wilson,2009-01-22,12
Information Services,264,Stephanie Conroy,2009-02-04,185,Ramesh Meyyappan,2009-02-03,1
Information Services,267,Karen Berg,2009-02-16,185,Stephanie Conroy,2009-02-04,12
Information Services,266,Peter Connelly,2009-02-23,185,Karen Berg,2009-02-16,7
Marketing,17,Kevin Brown,2007-01-26,210,NULL,NULL,NULL
Marketing,16,David Bradley,2007-12-20,199,Kevin Brown,2007-01-26,328
Marketing,22,Sariya Harnpadoungsataya,2008-12-12,187,David Bradley,2007-12-20,358
Marketing,23,Mary Gibson,2009-01-12,186,Sariya Harnpadoungsataya,2008-12-12,31
Marketing,24,Jill Williams,2009-01-18,186,Mary Gibson,2009-01-12,6
Marketing,21,Terry Eminhizer,2009-03-02,184,Jill Williams,2009-01-18,43
Marketing,20,Wanida Benshoof,2011-01-07,162,Terry Eminhizer,2009-03-02,676
Marketing,18,John Wood,2011-02-07,161,Wanida Benshoof,2011-01-07,31
Marketing,19,Mary Dempsey,2011-02-14,161,John Wood,2011-02-07,7
Marketing,250,Sheela Word,2011-02-25,161,Mary Dempsey,2011-02-14,11
Production,28,Guy Gilbert,2006-06-30,217,NULL,NULL,NULL
Production,40,JoLynn Dobney,2007-12-26,199,Guy Gilbert,2006-06-30,544
Production,48,Ruth Ellerbrock,2008-01-06,198,JoLynn Dobney,2007-12-26,11
Production,49,Barry Johnson,2008-01-07,198,Ruth Ellerbrock,2008-01-06,1
Production,50,Sidney Higa,2008-02-02,197,Barry Johnson,2008-01-07,26
